Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Upsell Discount (product.metafields.app--34646425601--orderediting.editing_sales_channel_discount_percentage),The order of the upsell products. (product.metafields.app--34646425601--orderediting.product_sorting_index),Activity (product.metafields.custom.activity),Bundle Products (product.metafields.custom.bundle_products),Category Metafield Colour (product.metafields.custom.category_metafield_colour),Hot spots  (product.metafields.custom.hot_spots),Outlet (product.metafields.custom.outlet),Parent product for bundle (product.metafields.custom.parent_product_for_bundle),Products Size Chart (product.metafields.custom.products_size_chart),Product Swatch Image (product.metafields.custom.product_swatch_image),Sibling (product.metafields.custom.sibling),Variation products (product.metafields.custom.variation_products),Variation value (Colour) (product.metafields.custom.variation_value),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Material (product.metafields.shopify.material),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / Australia,Price / Australia,Compare At Price / Australia,Included / Canada,Price / Canada,Compare At Price / Canada,Included / International,Price / International,Compare At Price / International,Included / MIddle East,Price / MIddle East,Compare At Price / MIddle East,Included / Switzerland,Price / Switzerland,Compare At Price / Switzerland,Included / United States,Price / United States,Compare At Price / United States,Status
activate-twinset-moon-grey,Activate Twinset - Moon Grey,"<p data-start=""270"" data-end=""648"">The Trailberg Activate Twinset combines a lightweight outdoor tee with matching shorts, designed for comfort, movement and everyday active wear. Ideal for training and warm-weather outdoor use, the set delivers breathable performance with a clean, versatile aesthetic. Functional and easy to wear, it’s built to support active days while maintaining all-day comfort.</p>
<p data-start=""650"" data-end=""667"">Key Features</p>
<ul>
<li data-start=""670"" data-end=""725"">Lightweight tee and shorts set for active use</li>
<li data-start=""728"" data-end=""778"">Designed for movement, comfort and breathability</li>
<li data-start=""781"" data-end=""831"">Shorts feature secure zip pockets for essentials</li>
<li data-start=""834"" data-end=""901"">Versatile twinset suitable for training and everyday wear</li>
</ul>
<p data-start=""903"" data-end=""974""><strong data-start=""903"" data-end=""917"">Ideal for:</strong> outdoor training, travel and casual active wear.</p>
<p data-start=""903"" data-end=""974"">The set comprises of the Activate Tee and Activate Shorts. </p>",Trailberg,Apparel & Accessories > Clothing > Outfit Sets,TWINSETS,"2026Q1, ALL, BUNDLE, BUNDLES, EDSON, NEW IN, Peak, Runners, RUNNING, RUNNING AND TRAINING",true,Size,XS,,,,,,,,ACTIVATE-TWIN-GREY-XS,400.0,shopify,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2701269158.jpg?v=1772030436,1,"",false,,,,,,activate-tee-grey; activate-hbr-short-moon-grey,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/STORM_GREY.png?v=1753958946,activate-twinset-black; activate-twinset-deep-ocean; activate-twinset-moon-grey,,,,,,,,,grey,,,,,,activate-tee-grey; activate-hbr-short-moon-grey,,,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
activate-twinset-moon-grey,,,,,,,,,S,,,,,,,,ACTIVATE-TWIN-GREY-S,400.0,shopify,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2701269163.jpg?v=1772036116,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
activate-twinset-moon-grey,,,,,,,,,M,,,,,,,,ACTIVATE-TWIN-GREY-M,400.0,shopify,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2701269160.jpg?v=1772030443,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
activate-twinset-moon-grey,,,,,,,,,L,,,,,,,,ACTIVATE-TWIN-GREY-L,400.0,shopify,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2701269162.jpg?v=1772036116,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
activate-twinset-moon-grey,,,,,,,,,XL,,,,,,,,ACTIVATE-TWIN-GREY-XL,400.0,shopify,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2701269161.jpg?v=1772030443,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
activate-twinset-moon-grey,,,,,,,,,XXL,,,,,,,,ACTIVATE-TWIN-GREY-XL,400.0,shopify,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2701269160_56f7493e-c9e6-4364-8c84-4fcdeb0ab5d4.jpg?v=1769674088,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
activate-twinset-moon-grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2701269164.jpg?v=1769674290,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activate-twinset-moon-grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2701269165.jpg?v=1769674290,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activate-twinset-moon-grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2701269166.jpg?v=1769674290,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activate-twinset-moon-grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2701269168.jpg?v=1769674290,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activate-twinset-moon-grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2701269170.jpg?v=1769674290,11,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy-fleece-tracksuit-storm-blue,Energy Fleece Tracksuit - Storm Blue,"<p data-start=""287"" data-end=""644"">The Trailberg Energy Tracksuit pairs the Energy Fleece Hood with matching joggers for effortless everyday style and comfort<strong data-start=""287"" data-end=""420"">.</strong> Crafted from soft, durable fabric with a flexible fit, this set blends casual outdoor appeal with athletic functionality. Designed for relaxation and movement alike, it’s ideal for off-duty wear, travel, and laid-back days.</p>
<p data-start=""646"" data-end=""1018"">The Energy Hood features a statement Trailberg logo, a drawstring hood with soft dipped drawcord, and a zipped kangaroo pocket with contrast fabric. The matching joggers offer a tapered fit with an elasticated waistband, adjustable drawcords, and zipped pockets for secure storage. Subtle raised injection mould branding ties the look together with a clean, modern finish.</p>
<p data-start=""1020"" data-end=""1037""><strong>Key Features</strong></p>
<ul>
<li data-start=""1040"" data-end=""1108"">
<p>Casual fleece hoodie and jogger set for everyday comfort and style</p>
</li>
<li data-start=""1111"" data-end=""1160"">Soft, durable fabric for warmth and flexibility</li>
<li data-start=""1163"" data-end=""1229"">Drawstring hood with soft dipped drawcord for adjustable comfort</li>
<li data-start=""1232"" data-end=""1310"">Elasticated waistband and adjustable drawcord joggers for a personalised fit</li>
<li data-start=""1313"" data-end=""1375"">Zipped pockets on both hoodie and joggers for secure storage</li>
<li data-start=""1378"" data-end=""1451"">Raised injection mould Trailberg branding for bold yet subtle detailing</li>
</ul>
<p data-start=""1453"" data-end=""1478""><strong>Material Composition</strong></p>
<ul data-start=""1479"" data-end=""1535"">
<li data-start=""1479"" data-end=""1535"">
<p data-start=""1481"" data-end=""1535""><strong data-start=""1481"" data-end=""1535"">72% Cotton, 21% Polyester, 7% Elastane (Interlock)</strong></p>
</li>
</ul>
<p data-start=""1537"" data-end=""1623""><strong data-start=""1537"" data-end=""1551"">Ideal for:</strong> casual outdoor wear, travel, off-duty relaxation and everyday layering.</p>",Trailberg,Apparel & Accessories > Clothing > Outfit Sets,TRACKSUITS,"2026Q1, BUNDLE, BUNDLES, fleece, Fleece Tracksuit, fleecetracksuit, NEW IN, New In Test, Nosto New In Test, Runners, SET, SETS, test bundles",true,Size,XS,,,,,,,,ENERGY-TRK-NAVY-XS,800.0,shopify,deny,manual,130.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267680_761bfb6b-7db1-4f15-b9a2-5d4434481d22.jpg?v=1772104953,1,"",false,,,,,,energy-oth-tech-fleece-hood-blue; energy-tech-fleece-pant-storm-blue,MOCHA,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/DEEP_OCEAN.png?v=1753959141,nrg-trk-mocha; energy-fleece-tracksuit-storm-blue; nrg-trk-vg,,,,,,,,,navy,,,,,,energy-oth-tech-fleece-hood-blue; energy-tech-fleece-pant-storm-blue,,,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
energy-fleece-tracksuit-storm-blue,,,,,,,,,S,,,,,,,,ENERGY-TRK-NAVY-S,800.0,shopify,deny,manual,130.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267665_a02d9a94-b992-4760-99ea-c3fceb7c3f4f.jpg?v=1772104953,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
energy-fleece-tracksuit-storm-blue,,,,,,,,,M,,,,,,,,ENERGY-TRK-NAVY-M,800.0,shopify,deny,manual,130.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267671_844304dd-f63c-4216-b7e7-c7bc506e577c.jpg?v=1769165297,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
energy-fleece-tracksuit-storm-blue,,,,,,,,,L,,,,,,,,ENERGY-TRK-NAVY-L,800.0,shopify,deny,manual,130.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267670_01891910-4655-4035-ab9c-70e44b0b6489.jpg?v=1769165297,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
energy-fleece-tracksuit-storm-blue,,,,,,,,,XL,,,,,,,,ENERGY-TRK-NAVY-XL,800.0,shopify,deny,manual,130.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267672_80f7be9e-f346-4cf8-98c4-905090829c01.jpg?v=1769165297,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
energy-fleece-tracksuit-storm-blue,,,,,,,,,XXL,,,,,,,,ENERGY-TRK-NAVY-XXL,800.0,shopify,deny,manual,130.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267669_beec9ec9-24eb-4908-b886-dc1428c88914.jpg?v=1769165297,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
energy-fleece-tracksuit-storm-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267673_1df814d8-bab5-4b58-86aa-dfa1d7d06010.jpg?v=1769165297,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy-fleece-tracksuit-storm-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267674_e6f76555-3eef-45ed-8683-f77685f7194c.jpg?v=1769165297,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy-fleece-tracksuit-storm-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267676_11eab4d1-a324-44a5-9c51-0225b5e4e51c.jpg?v=1769165297,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy-fleece-tracksuit-storm-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267677_d4302b17-1ac3-4507-9c3a-c86af53dae7b.jpg?v=1769165297,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy-fleece-tracksuit-storm-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267678_d79f7a75-69d9-4dcc-8d8c-751e22c3c9d4.jpg?v=1769165297,11,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
velocity-tracksuit-breeze,Velocity Tracksuit - Breeze Blue,"<p data-end=""599"" data-start=""288"">The Trailberg Velocity Tracksuit is built for speed, movement and breathable protection during high-intensity training. Combining a lightweight windbreaker hood with flexible running pants, this performance set is designed to support running, training and fast-paced outdoor activity in changing conditions.</p>
<p data-end=""1106"" data-start=""601"">The Velocity Hood delivers adjustable protection with a three-piece hood and bungee hem, while a vented reverse panel promotes airflow when intensity increases. Paired with the Velocity Running Pant, constructed from lightweight 4-way stretch fabric, the set offers unrestricted movement and targeted ventilation through power mesh–lined panels. Zip ankle detailing on the pants ensures a secure fit over footwear, while reflective detailing across both pieces enhances visibility in low-light conditions.</p>
<p data-end=""1125"" data-start=""1108"">Key Features</p>
<ul>
<li data-end=""1179"" data-start=""1128"">Lightweight performance hood and running pant set</li>
<li data-end=""1251"" data-start=""1182"">Wind-resistant hood with adjustable three-piece hood and bungee hem</li>
<li data-end=""1312"" data-start=""1254"">Vented back panel on the hood for enhanced breathability</li>
<li data-end=""1370"" data-start=""1315"">4-way stretch running pants for unrestricted movement</li>
<li data-end=""1424"" data-start=""1373"">Power mesh–lined vent panels for improved airflow</li>
<li data-end=""1489"" data-start=""1427"">Zip ankle detailing for adjustability and ease over trainers</li>
<li data-end=""1563"" data-start=""1492"">Reflective detailing for increased visibility in low-light conditions</li>
</ul>
<p data-end=""1651"" data-start=""1565""><strong data-end=""1579"" data-start=""1565"">Ideal for:</strong> running, training, cardio workouts and high-output outdoor performance.</p>",Trailberg,Apparel & Accessories > Clothing > Outfit Sets,TRACKSUITS,"2026Q1, bikers, Biking and Running, BUNDLE, BUNDLES, Hikers, NEW IN, New In Test, Runners, RUNNING, SET, SETS, test bundles, Winter Sports",true,Size,XS,,,,,,,,VELOCITY-TRK-BREEZE-XS,800.0,shopify,deny,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267710.jpg?v=1772203321,1,"",false,,,,,,horizon-2-hood-black; horizon-2-pant-black,BVG,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/breeeze.png?v=1752157048,velocity-tracksuit-black; velocity-tracksuit-breeze,,,,,,,,,blue,,,,,,velocity-hood-breeze; velocity-pant-breeze,,,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
velocity-tracksuit-breeze,,,,,,,,,S,,,,,,,,VELOCITY-TRK-BREEZE-S,800.0,shopify,deny,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267722_fc6e83ee-1fef-422b-8fe1-44a2669e72ae.jpg?v=1772203321,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
velocity-tracksuit-breeze,,,,,,,,,M,,,,,,,,VELOCITY-TRK-BREEZE-M,800.0,shopify,deny,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267711_2620b873-8bdc-4b2e-a1cf-2419722bf9c8.jpg?v=1772203321,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
velocity-tracksuit-breeze,,,,,,,,,L,,,,,,,,VELOCITY-TRK-BREEZE-L,800.0,shopify,deny,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267712.jpg?v=1772203321,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
velocity-tracksuit-breeze,,,,,,,,,XL,,,,,,,,VELOCITY-TRK-BREEZE-XL,800.0,shopify,deny,manual,140.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0578/9217/5895/files/TRAILBERG_2001267713_0a7b0455-1c0e-493b-b098-b9b610cd1d94.jpg?v=1772203321,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,,,,,,
